taxi_zone_id,taxi_zone_name,borough,observations,actual_mean,predicted_mean,mae,rmse,r2,mape_positive_pct,smape_pct,mean_error_bias
78,East Tremont,Bronx,1464,1.6202185792349726,1.5494605589479975,1.1226308665880695,1.5493912581870783,0.2608591040414042,53.17865699573719,102.52511505641158,-0.07075802028697499
79,East Village,Manhattan,1464,145.0013661202186,144.78885913608465,24.713441927277632,45.998989233487194,0.9012416097554604,22.500039400424697,19.260653052496917,-0.21250698413393587
80,East Williamsburg,Brooklyn,1464,7.854508196721311,7.47564519872651,3.079595059865292,5.233811916650748,0.7079422232763466,59.72496524280907,49.70120621511273,-0.37886299799480067
81,Eastchester,Bronx,1464,1.034153005464481,1.102987832176204,0.8694273004673052,1.154784807746275,0.2278246927282277,48.44038726183232,120.60715419238396,0.06883482671172331
82,Elmhurst,Queens,1464,3.907103825136612,3.8054712550351817,2.056277507259618,2.8831461471781537,0.24259232493289207,65.92375122100425,60.92005980966698,-0.10163257010143013
83,Elmhurst/Maspeth,Queens,1464,1.4364754098360655,1.465869937314617,1.146865399371106,1.519788941205995,-0.02715419753977466,56.370951551757585,101.03063462328906,0.02939452747855117
84,Eltingville/Annadale/Prince's Bay,Staten Island,1464,0.0034153005464480873,0.006411036721270763,0.009788128092835129,0.06006097601426296,-0.05984322503491368,99.44061767970231,199.99240832953652,0.0029957361748226764
85,Erasmus,Brooklyn,1464,2.3094262295081966,2.3710531284210483,1.469366511340287,2.068023735109629,0.14311386393024406,65.82783587781897,84.633550725477,0.06162689891285155
86,Far Rockaway,Queens,1464,1.4624316939890711,1.5825082990567696,1.0635013586946727,1.4545349663662486,0.259705351030475,57.66872702026702,111.35007636938471,0.12007660506769864
87,Financial District North,Manhattan,1464,40.131147540983605,40.261729709887575,8.5388642386842,12.955186256148497,0.8446329292357532,35.44127739578208,27.760001281046332,0.1305821689039656
88,Financial District South,Manhattan,1464,21.73087431693989,21.778596369964774,5.522529523478376,7.881221414623551,0.7925492140555906,42.50016670202516,38.78343040615788,0.04772205302488531
89,Flatbush/Ditmas Park,Brooklyn,1464,6.113387978142076,6.220447682638755,2.472372461931135,3.385339155477142,0.4693662419728494,58.87587911350528,51.710965799470806,0.10705970449667959
90,Flatiron,Manhattan,1464,84.89685792349727,85.66725853297113,13.792118782533953,19.849263744776575,0.8767183013917317,26.186084030157147,20.811158291982565,0.7704006094738631
91,Flatlands,Brooklyn,1464,3.1181693989071038,3.1938214044242574,1.641635889667846,2.276368393107789,0.4801299703269911,59.51715240269709,80.94087212890476,0.0756520055171538
92,Flushing,Queens,1464,1.959016393442623,1.9877702925521346,1.3632231704665971,1.8175276835821554,0.11965930761016663,61.531169720417,87.94581807758166,0.028753899109511573
93,Flushing Meadows-Corona Park,Queens,1464,0.7281420765027322,0.7800182677162114,0.78493351564829,1.0215144255533712,-0.07446285926585028,51.918262679301975,140.34702118042145,0.05187619121347908
94,Fordham South,Bronx,1464,0.6680327868852459,0.8511642726861981,0.7439840271054329,0.9720915450010856,-0.001999322435955797,43.99884335394539,138.3173843795544,0.1831314858009522
95,Forest Hills,Queens,1464,3.362704918032787,3.3799885534300733,1.8575910953494594,2.5402743811684236,0.23133663016184658,68.4020150489629,69.31155536899135,0.017283635397286945
96,Forest Park/Highland Park,Queens,1464,0.09289617486338798,0.23343694340149743,0.2835172889372334,0.3852694669972357,-0.3986657500075934,75.42469367778727,193.8463223969342,0.14054076853810943
97,Fort Greene,Brooklyn,1464,8.008879781420765,7.955578181352299,3.1878881627984472,4.602900658898092,0.47702066998853665,55.810496806797374,51.14979536209175,-0.05330160006846604
98,Fresh Meadows,Queens,1464,0.3422131147540984,0.5155748916080564,0.561738603944303,0.6978917038416311,-0.17751448399352254,53.39097486621133,167.6296066219928,0.17336177685395796
99,Freshkills Park,Staten Island,1464,0.0,0.0030886953410011685,0.0030886953410011685,0.004141193971971816,0.0,,200.0,0.0030886953410011685
100,Garment District,Manhattan,1464,77.47950819672131,79.59787283410353,12.828563939148628,17.277577276940384,0.8220930419844712,24.819437448807925,20.295410780966794,2.118364637382208
101,Glen Oaks,Queens,1464,0.3989071038251366,0.54602619127444,0.6018698859821578,0.7969016970891134,-0.1577488212049587,53.42312768348273,163.7149284130255,0.1471190874493034
102,Glendale,Queens,1464,0.8422131147540983,0.97677909851718,0.8291782681164573,1.082418878551291,0.022389764694445202,48.78584388261184,126.62352172099439,0.13456598376308157
103,Governor's Island/Ellis Island/Liberty Island,Manhattan,1464,0.0,0.0022275232009538078,0.0022275232009538078,0.002523305290138941,0.0,,200.0,0.0022275232009538078
104,Governor's Island/Ellis Island/Liberty Island,Manhattan,1464,0.0,0.0022275232009538078,0.0022275232009538078,0.002523305290138941,0.0,,200.0,0.0022275232009538078
